id,bm,translation,target_lang,contributor_name,created_at
2617,জেলা আগোর লগে অতারাউরি,একটা মেয়ের সাথে কথা বলছি,bengali,Arnab,2026-07-29 21:02:38.657446+00
2618,না লারা দেসু,রাগ উঠায় নাই,bengali,Rupa Moni,2026-07-29 21:03:29.665094+00
2619,কার লগে,কার সাথে,bengali,Rupa Moni,2026-07-29 21:03:53.324897+00
2620,কিতানো অতারারাইতাতা,কি নিয়ে গল্প করছো,bengali,null,2026-07-29 21:04:38.890328+00
2621,কুঙ্গ থাঙ্গ জেলাগো,মেয়েটা কে,bengali,Rupa Moni,2026-07-29 21:04:50.72923+00
2622,কিতানো অতারারাইতাতা,কি নিয়ে গল্প করছো,bengali,Arnab,2026-07-29 21:05:01.92572+00
2623,মরে হঙকরিয়া দে,আমাকে বানিয়ে দাও,bengali,Arnab,2026-07-29 21:05:22.846535+00
2624,যানা লাগতোই,যেতে হবে,bengali,Arnab,2026-07-29 21:05:32.876378+00
2625,আলথক নাইস,ফিরবে না,bengali,Arnab,2026-07-29 21:05:49.923057+00
2626,বপ্পরে আকুইসত,বেশি বার বেড়েছো,bengali,Rupa Moni,2026-07-29 21:05:51.442958+00
2627,পানি পিলে গো,পানি পান করেছো,bengali,Arnab,2026-07-29 21:06:04.835377+00
2629,কঙালা ইসে,এটা নরম,bengali,Arnab,2026-07-29 21:06:49.053035+00
2630,দদ্দা ইয়া আসে,শক্ত হয়ে আছে,bengali,Arnab,2026-07-29 21:07:20.37043+00
2631,নুংশি ইসে,এটা সুগন্ধযুক্ত,bengali,Arnab,2026-07-29 21:07:45.720568+00
2632,মুঙেদে বুল,পূর্বদিকে ঘুরো,bengali,Arnab,2026-07-29 21:08:03.862631+00
2633,কাদাহাত আহো পরলুগা,কাছাকাছি চলে এসেছি,bengali,Rupa Moni,2026-07-29 21:08:14.946286+00
2634,অঙাদে না জিসগা,উত্তরদিকে যেও না,bengali,Arnab,2026-07-29 21:08:34.611369+00
2635,শপা আহান,একটা গাছ,bengali,Arnab,2026-07-29 21:08:59.252412+00
2636,লেরিক দুহান,দুইটা বই,bengali,Arnab,2026-07-29 21:09:11.473953+00
2637,ঘুম নাহের,ঘুম আসে না,bengali,Rupa Moni,2026-07-29 21:09:29.043752+00
2638,মি লেরিক তামকরুরি,আমি বই পড়ি,bengali,Arnab,2026-07-29 21:09:52.647308+00
2639,থক থক নমকর,তাড়াতাড়ি শেষ করো,bengali,Rupa Moni,2026-07-29 21:10:26.644764+00
2640,পৌ এহান চালাক্ক দিয়াবেঠা,এই সংবাদটি তাড়াতাড়ি পাঠাও,bengali,Arnab,2026-07-29 21:10:36.37494+00
2641,নালতো আহিস,তাড়াতাড়ি এসো,bengali,Rupa Moni,2026-07-29 21:11:04.228001+00
2642,অহান্দে নাজিগা,Don't go there,english,null,2026-07-29 21:11:28.36312+00
2643,হবারে পরীক্ষাহান দিস,ভালো করে পরীক্ষা দিও,bengali,Rupa Moni,2026-07-29 21:11:32.947421+00
2644,লহঙ হান লেপুইসে,বিয়ে ঠিক হয়েছে,bengali,Rupa Moni,2026-07-29 21:12:49.872117+00
2646,নাঙহানোউ লেখিস,নামও লিখবে,bengali,Rupa Moni,2026-07-29 21:13:27.112345+00
2649,মি তরে বানা পাউরি!,আমি তোমাকে ভালোবাসি!,bengali,Arnab,2026-07-29 21:14:03.707506+00
2650,তোরে উৎসর্গ করলু,তোমাকে উৎসর্গ করেছি,bengali,Arnab,2026-07-29 21:14:16.957628+00
2651,মি পারতৌ,আমি পারব,bengali,Rupa Moni,2026-07-29 21:14:21.458794+00
2652,মি হারপাসু,আমি জানি,bengali,Rupa Moni,2026-07-29 21:14:43.49075+00
2653,কিসারে ইলতা,How did it happen,english,null,2026-07-29 21:14:48.622594+00
2654,বাহিয়া যারগা যৌবন হান,যৌবন বয়ে যাচ্ছে,bengali,Arnab,2026-07-29 21:14:58.964725+00
2655,কিওউ তার অপরূপ রূপহান,কী অপরূপ রূপ তার,bengali,Arnab,2026-07-29 21:15:23.615233+00
2656,সেইক্ষাত পূর্ণিমার জোলাক হান,সাক্ষাত পূর্নিমার আলো,bengali,Arnab,2026-07-29 21:15:55.854258+00
2657,কুয়ান্দে গেলিগা গো,Where did she go ,english,null,2026-07-29 21:16:14.700298+00
2658,তোরে নিংশিং ইলে কাদুরি,তোমাকে মনে পড়লে কান্না করি,bengali,Arnab,2026-07-29 21:16:25.046619+00
2659,কুয়ান্দে গেলগা গো,Where did he go,english,null,2026-07-29 21:16:35.750072+00
2660,মোর কথাহান হান্নাপিলে,আমার কথা বুঝলে না,bengali,Arnab,2026-07-29 21:16:48.285889+00
2661,ঘুম হানে নাকরলো,ঘুম চলে এসেছে,bengali,Rupa Moni,2026-07-29 21:16:54.67613+00
2662,না গালি মোরে,আমাকে গালি দিও নাই,bengali,Arnab,2026-07-29 21:16:57.705973+00
2663,গুম নাহের আজি,ঘুম লাগছে না আজকে,bengali,Arnab,2026-07-29 21:17:11.236868+00
2664,আজি নমকরিক,আজ আর নয়,bengali,Arnab,2026-07-29 21:17:37.174385+00
2665,বেল্লু মি,ছেড়ে দিলাম আমি,bengali,Arnab,2026-07-29 21:17:48.607939+00
2666,চিনলু তরে,চিনেছি তোমাকে,bengali,Rupa Moni,2026-07-29 21:18:05.498381+00
2667,ফামহাত পরলুগা,বিছানায় পড়লাম,bengali,Arnab,2026-07-29 21:18:06.965215+00
2668,চেইয়া যাগা,দেখে যাও,bengali,Arnab,2026-07-29 21:18:33.647742+00
2669,আজিকা মি ঘাটহাত গেলুগা,I went to the river today,english,Rity,2026-07-29 21:18:38.129503+00
2670,তারে মি নাচিনিসু,I don't know him,english,Rity,2026-07-29 21:19:53.226616+00
2671,হায়দে বেলিক,"আচ্ছা বাদ দাও",bengali,Rupa Moni,2026-07-29 21:20:10.965404+00
2672,তোরে মি নাচিনিছু,I don't know her,english,Rity,2026-07-29 21:21:03.857886+00
2673,পাকদাত যাউরিগাগো,ঘুরতে যাবে,bengali,Arnab,2026-07-29 21:21:36.145462+00
2674,ঘুমা ওহত্তে,ঘুমাও তাহলে,bengali,Rupa Moni,2026-07-29 21:21:46.892251+00
2675,নেগা মরে,নিয়ে যাও আমাকে,bengali,Rupa Moni,2026-07-29 21:22:52.135805+00
2676,নুয়ারলে মোর লগে,আমার সাথে পারলে না,bengali,Arnab,2026-07-29 21:23:08.455997+00
2677,মি হিজা পারুরি,আমি রান্না করতে পারি,bengali,Rupa Moni,2026-07-29 21:24:06.875113+00
2678,কালি পারতৌ,কালকে পারবো,bengali,Rupa Moni,2026-07-29 21:24:31.578495+00
2679,"চেইস","দেখে নিও",bengali,Rupa Moni,2026-07-29 21:25:21.741862+00
2680,লউদ্দিয়াউ নুয়ারবে,চিৎকার করেও পারবে না,bengali,Arnab,2026-07-29 21:25:47.494876+00
2681,থমদিয়া বেলাইতৌ হানে,লাথি দিয়ে ফেলে দিবো কিন্তু,bengali,Arnab,2026-07-29 21:26:24.246891+00
2682,নামাতিয়া না ঘুমিস,না বলে ঘুমায়ো না,bengali,Rupa Moni,2026-07-29 21:26:37.081478+00
2683,তি মোরে নাচিনিসত,তুমি আমাকে চিনো নাই,bengali,Arnab,2026-07-29 21:26:37.115486+00
2684,মি মানুগো হবাগো নাবে,আমি মানুষটা ভালো না,bengali,Arnab,2026-07-29 21:26:52.183049+00
2685,আজি রাতি চরকরাত জিতৌগা,আজ রাতে চুরি করতে যাবো,bengali,Arnab,2026-07-29 21:27:14.096507+00
2686,দরপিয়া মুতেবেলাসে,ভয়ে প্রস্রাব করে ফেলেছে,bengali,Arnab,2026-07-29 21:27:39.648106+00
2687,অহানদে নাচেই,অদিকে তাকিও না,bengali,Arnab,2026-07-29 21:27:52.545471+00
2688,তি কিহান নিঙকরিসত হান,তুমি কি মনে করেছ,bengali,Rupa Moni,2026-07-29 21:28:02.829736+00
2689,এপাগা খেলিক কিতাই,এখন খেলি না,bengali,Arnab,2026-07-29 21:28:29.967392+00
2690,তোরতা সৌ কয়গো,তোমার বাচ্চা কয়জন,bengali,Arnab,2026-07-29 21:29:01.810752+00
2691,লহং করলেগো,বিয়ে করেছো,bengali,Arnab,2026-07-29 21:29:11.820654+00
2692,থাপাড়া আহান খেইলে হারপিতেই,একটা চর খেলে বুঝবা,bengali,Rupa Moni,2026-07-29 21:29:30.253738+00
2693,কিত্তাউ না নুংকরিসু,কিছু ভাবি নি,bengali,Arnab,2026-07-29 21:29:33.91046+00
2694,মরতা লাগানি নাহের,আমার ঝগড়া করার ইচ্ছা নেই,bengali,Arnab,2026-07-29 21:30:10.245277+00
2695,তরে বাসিয়া আসু,তোমার অপেক্ষাই আছি,bengali,Rupa Moni,2026-07-29 21:30:20.379802+00
2696,তারে মারিয়া কানা নাইবো,তাকে বলে লাভ হবে না,bengali,Arnab,2026-07-29 21:30:25.021433+00
2697,হাবিরে বাঙাদিস,সবাইকে বুঝিও,bengali,Arnab,2026-07-29 21:30:58.989811+00
2698,মেঙসেলহাত চা,আয়নায় দেখো,bengali,Arnab,2026-07-29 21:31:48.801012+00
2699,মরতা লাগানি আহের,আমার ঝগড়া করার ইচ্ছা অনেক,bengali,Rupa Moni,2026-07-29 21:31:52.701926+00
2700,"নিজেও ঙালুইক","নিজেও আলোকিত হয়",bengali,Arnab,2026-07-29 21:32:32.65185+00
2701,আজি মি চুনা ইসু,আজকে আমাকে সুন্দর লাগছে,bengali,Rupa Moni,2026-07-29 21:33:02.234435+00
2702,যেহান ইচ্ছা কর,যা ইচ্ছা করো,bengali,Rupa Moni,2026-07-29 21:35:04.974258+00
2703,মি খেয়ালউ নাকোরৌরি,আমি খেয়ালও করিনি,bengali,Rupa Moni,2026-07-29 21:35:45.85795+00
2704,এলা দেনা পারোর গো,গান গাইতে পারো,bengali,Rupa Moni,2026-07-29 21:36:49.707095+00
2705,মি এলা দেনা পারুরি,আমি গান গাইতে পারি,bengali,Rupa Moni,2026-07-29 21:37:19.158659+00
2706,খালপাল নাকোরি,ঝগড়া করো না,bengali,Rupa Moni,2026-07-29 21:37:56.06955+00
2707,যেহেন হাদাপার অহান কর,Do whatever you want,bengali,Rity,2026-07-29 21:39:35.23212+00
2708,"খালপাল করানি চুম নার","হিংসে করা ঠিক না",bengali,Rupa Moni,2026-07-29 21:40:31.7498+00
2709,মি এহেন নাকরিম,I won't do that,bengali,Rity,2026-07-29 21:40:34.398171+00
2710,ডাঙর ইলে,বড় হয়েছো,bengali,Rupa Moni,2026-07-29 21:40:46.140936+00
2711,মরতা মরানি নাহের,I don't want to die,bengali,Rity,2026-07-29 21:41:46.091123+00
2712,"মি তরে দেখে নুয়ারৌরি","I can't tolerate you",english,Rupa Moni,2026-07-29 21:42:51.849333+00
2713,মরতা আজিকা নুঙেই না লাগের,Am not feeling well today,bengali,Rity,2026-07-29 21:43:08.342358+00
2714,থাক আক্ষুলাগই,থাকো একা,bengali,Rupa Moni,2026-07-29 21:44:50.792915+00
2715,আজিকা রাতি এহান জবরে নিরালা ইসে,Tonight feels unusually quiet,bengali,Rity,2026-07-29 21:46:43.254261+00
2716,বপ্পোরে তিক না দেখাদি,Don't be soo rude,english,Rupa Moni,2026-07-29 21:47:06.662715+00
2717,যেহানউ কর হবানেই পথে না জিসগা ইমে,যাই করো খারাপ পথে যেওনা শুধু,bengali,উজ্জ্বল সিংহ,2026-07-30 02:44:44.257505+00
2718,মানুর লগে লাগা-লাগি করিয়া কিত্তা নার,মানুষের সাথে ঝগড়া-বিবাদ করে কিছুই হয়না,bengali,উজ্জ্বল সিংহ,2026-07-30 02:46:33.584904+00
2719,তাপথা ইয়া হাবি কাম করিস,শান্ত হয়ে সব কাজ করবে,bengali,উজ্জ্বল সিংহ,2026-07-30 02:47:50.638836+00
2720,কিহান হায়হান কিহান মিছাহান আপ্পানে নুকুলতই,কি সত্য কি মিথ্যা এমনেই বেরিয়ে আসবে,bengali,উজ্জ্বল সিংহ,2026-07-30 02:49:46.159329+00
2721,কাম কিত্তাউ হুরকা নার,কোনো কাজই ছোট হয়না,bengali,উজ্জ্বল সিংহ,2026-07-30 02:51:00.609127+00
2722,উরাদারা ইলেই ভুল ইতই,অস্থির হলেই ভুল হবেই,bengali,উজ্জ্বল সিংহ,2026-07-30 02:55:24.469401+00
2723,আহিব কালিহান না বাসি,আগামিকালের অপেক্ষা করোনা,bengali,উজ্জ্বল সিংহ,2026-07-30 02:58:19.705914+00
2724,আজিকার কাম আজিকাই নমকর,আজকের কাজ আজকেই শেষ করো,bengali,উজ্জ্বল সিংহ,2026-07-30 02:59:11.491485+00
2725,থকথক ইকরিয়া জমিলে হবা,দ্রুত লিখে জমা দিলে ভালো,bengali,উজ্জ্বল সিংহ,2026-07-30 03:01:48.067665+00
2726,হৎনা না করলে জিঙানি নার,চেষ্টা না করলে বিজয় আসেনা,bengali,উজ্জ্বল সিংহ,2026-07-30 03:02:48.031808+00
2727,সময়হান গেলেগা রেইসর গড়াগ দরে নুয়ারবে সুনা,সময় গেলে রেইসের ঘোড়া ধরতে পারবে না সোনা,bengali,উজ্জ্বল সিংহ,2026-07-30 03:08:27.589674+00
2728,মোরে কল নাদিও সাঙ নাইসু,আমাকে কল দিওনা ব্যস্ত অনেক,bengali,উজ্জ্বল সিংহ,2026-07-30 03:24:41.354225+00
2729,মি তোরে চেয়া থাইলু,আমি তোমাকে চেয়ে থাকলাম,bengali,উজ্জ্বল সিংহ,2026-07-30 03:25:52.428294+00
2730,আজি কালি বুলিয়া দিন গেলগা মাঙুইয়া,আজ কাল বলে দিন গেলো হারিয়ে,bengali,উজ্জ্বল সিংহ,2026-07-30 03:27:38.486921+00
2731,মিতে নাচে নুয়ারুরি,আমি তো নাচতে পারি না,bengali,উজ্জ্বল সিংহ,2026-07-30 03:28:18.63772+00
2732,তোর থতাহাৎ ফুল ফুটক,তোমার মুখে ফুল ফুঁটুক,bengali,উজ্জ্বল সিংহ,2026-07-30 03:29:42.807244+00
2733,মরে তি লেইরেক করুরি,তুমি আমাকে অবহেলা কর করছো,bengali,উজ্জ্বল সিংহ,2026-07-30 03:32:37.810917+00
2734,"ইমে মুঙ অহাৎ আহিয়া হুদদা উবা অরগা","শুধু সামনে এসে দাঁড়িয়ে পরো",bengali,উজ্জ্বল সিংহ,2026-07-30 03:37:12.561808+00
2735,কালিকাৎত আজি পেইয়া কিৎতা না করিয়া বহিয়া আসু,কাল থেকে আজ পর্যন্ত কোনো কাজ না করে বসে আছি,bengali,উজ্জ্বল সিংহ,2026-07-30 03:40:49.565353+00
2736,হৌ'তে য়াত ইসে জবর,তরকারি অনেক কম হয়েছে,bengali,উজ্জ্বল সিংহ,2026-07-30 03:42:42.579729+00
2737,হৌ'য়ে থৌ বপ নাদিও,তরকারিতে তেল বেশি দিওনা,bengali,উজ্জ্বল সিংহ,2026-07-30 03:45:22.349987+00
2738,তেল বপ খানা গারিগর কাজে হবানেই,তেল বেশি খাওয়া শরীরের জন্য ভালো না,bengali,উজ্জ্বল সিংহ,2026-07-30 03:46:35.884969+00
2739,খা-বারাদে যিগগা,দক্ষিণ-দিকে চলো,bengali,উজ্জ্বল সিংহ,2026-07-30 03:50:26.733672+00
2740,ওয়াং-বারাদে যিগগা,উত্তর-দিকে চলো,bengali,উজ্জ্বল সিংহ,2026-07-30 03:51:08.751156+00
2741,"আমার গাঙহানর লগে গাৎ আহান আসে","আমাদের গ্রামের সাথে একটা নদী আছে",bengali,উজ্জ্বল সিংহ,2026-07-30 03:55:30.267994+00
2742,দুগ মাণ্ডপ আমার গাঙে,দুইটা মন্দির আমাদের গ্রামে,bengali,উজ্জ্বল সিংহ,2026-07-30 03:56:21.659407+00
2743,তি মর লগে নুয়ারবে,তুমি আমার সাথে পারবে না,bengali,ঙালুইক,2026-07-30 03:57:48.68566+00
2744,তুমি মর লগে নুয়ারবাউ,তোমারা আমার সাথে পারবে না,bengali,ঙালুইক,2026-07-30 03:58:43.882492+00
2745,হাবিয়ে তিলয়া গাৎ হাৎ হিনিকগা আহো,সবাই মিলে নদীতে গোসল করি আসো,bengali,উজ্জ্বল সিংহ,2026-07-30 03:58:52.133087+00
2746,আমি তর লগে নুয়ারবাঙ,আম্রান তুমাদের সাথে পারব না,bengali,ঙালুইক,2026-07-30 03:59:31.660933+00
2747,বিয়ানহান ইল ঘুমেৎত উঠিয়া লেরিহাৎ বহো,সকাল হলো ঘুম থেকে উঠে বই নিয়ে বসো,bengali,উজ্জ্বল সিংহ,2026-07-30 04:00:30.430896+00
2748,মি তর লগে নুয়ারিম,আমি তুমার সাথে পারবে না,bengali,ঙালুইক,2026-07-30 04:00:42.738507+00
2749,মি তুমার লগে নুয়ারিম,আমি তোমাদের সাথে পারব না,bengali,ঙালুইক,2026-07-30 04:01:23.744224+00
2750,মি হবা সৌগো,আমি ভালো ছেলে,bengali,ঙালুইক,2026-07-30 04:01:43.049486+00
2751,তি হবা সৌগো,তুমি ভালো ছেলে,bengali,ঙালুইক,2026-07-30 04:02:05.167974+00
2752,তুমি হবা সৌ,তোমরা ভালো ছেলে,bengali,ঙালুইক,2026-07-30 04:02:24.332173+00
